#objID z mass rpetro ra dec res mrs sens_10kms year muid proj name K03 K01 WISE LERG
587729776375562308 0.216822 11.4747 2.0658 226.03129936 -2.80460515 0.5790669780272801 7.5306455759743685 0.5337640761011488 2016 uid://A001/X87a/X657 2016.1.01269.S RXCJ1504.1-0248 0 0 0 0
587729777446617098 0.040404 10.8644 2.83287 219.77370368 -2.11570706 2.6287135566621287 26.003295827472904 1.3682869278843086 2021 uid://A001/X15a2/X746 2021.1.01089.S 170103 0 0 0 0
587729779054084193 0.054173 10.4879 3.40163 212.5918663 -1.1149946 0.9699420555885413 10.068040237068711 0.6102731514085953 2017 uid://A001/X1273/X722 2017.1.00601.S GAMA496966 0 0 0 0
587730022252675197 0.048617 10.9238 2.58117 214.90871834 6.13480129 2.638799367123969 24.369254757686292 1.4537078956756166 2021 uid://A001/X15a2/X74c 2021.1.01089.S 29955 1 1 0 0
587730772799914185 0.078954 10.9574 3.16712 324.89156234 10.48348826 1.7513278633224256 21.390215364164952 0.7423126602128438 2019 uid://A001/X1465/X34f9 2019.1.00260.S PM2_7975_6104 0 0 0 0
587730847423791750 0.024669 10.2167 2.19822 312.02361024 0.06884447 2.0476168810349695 21.596514364537132 0.6589218325110998 2019 uid://A001/X1465/X3515 2019.1.00260.S PM1_8623_1902 1 1 0 0
587730847427265072 0.033194 10.7194 5.43936 319.91975399 0.1209354 2.4617574601933434 21.662807951552903 0.5250698956076877 2017 uid://A001/X1288/Xef1 2017.1.01093.S 8615-9101 1 0 0 0
587730847963022072 0.024229 9.45384 2.74141 317.42259933 0.62777493 2.51795048227784 24.328733878392544 1.0134719962236813 2019 uid://A001/X1465/X18c3 2019.1.01136.S 7964-1902 0 0 0 0
587730848501530706 0.019859 8.94949 3.27708 321.07217669 1.02838526 2.3128242369498704 22.446037271334177 0.6308168491944021 2019 uid://A001/X1465/X34e5 2019.1.00260.S PM1_8615_1901 0 0 0 0
587731173842027508 0.096831 11.1227 2.40581 311.78094669 0.3004667 2.4083466505661293 25.405323271208374 0.6624768389362065 2018 uid://A001/X133d/Xf49 2018.1.00558.S 8623-6104 1 0 0 0
587731174378242099 0.026822 10.6387 7.80381 310.21701687 0.65276535 2.4478820917712514 21.427691792459576 1.0504289154021642 2017 uid://A001/X1288/Xf01 2017.1.01093.S 8623-12702 0 0 0 0
587731185650565143 0.030256 10.7453 2.57975 322.30215239 -0.62174374 2.4423460008913866 22.623689150744234 0.6250295409305394 2017 uid://A001/X1288/Xef9 2017.1.01093.S 8616-1902 1 1 0 0
587731185650827595 0.091797 11.0666 2.40613 322.90884307 -0.60820117 1.6757349545185667 20.206781269671616 0.5031474588614014 2019 uid://A001/X1465/X3519 2019.1.00260.S WP_8616_9101 1 0 0 0
587731185665638418 0.071143 11.1262 3.6788 356.75181707 -0.44740504 1.585310293133715 18.706419927283775 0.532634208472403 2018 uid://A001/X133d/Xf45 2018.1.00558.S 8655-3701 1 0 0 0
587731186187632690 0.030211 10.2159 6.04244 322.7494346 -0.00058493 2.5246994627122707 25.593841531455855 0.6573274598404043 2018 uid://A001/X133d/Xe67 2018.1.00541.S 587731186187632690_8616-9102 0 0 0 0
587731186203230385 0.022037 9.45234 2.71506 358.46880418 -0.09871525 2.5462007138101215 25.29156412505726 1.538959311974932 2019 uid://A001/X1465/X18bf 2019.1.01136.S 8655-1902 0 0 1 0
587731186724569574 0.054027 10.6099 4.9601 322.98051569 0.21380748 2.5341352170905935 23.45257464171005 0.42203859033702346 2017 uid://A001/X1288/Xefd 2017.1.01093.S 8616-6104 1 0 0 0
587731187797393472 0.018303 10.0825 3.58846 320.82655503 1.25503174 2.5166597226963443 24.073582419992924 0.6250875694292357 2018 uid://A001/X133d/Xe6f 2018.1.00541.S 587731187797393472_8615-3703 0 0 0 0
587731187798507929 0.086001 11.0473 3.94919 323.40752218 1.07095399 1.7392757971054371 20.417546519442528 0.4928959716144725 2019 uid://A001/X1465/X34dd 2019.1.00260.S CP_7968_12705 0 0 0 0
587731511541432411 0.038198 9.27281 3.97176 40.30388682 -0.87692516 2.5713308174393448 24.50037920483427 0.8007143562702272 2019 uid://A001/X1465/X34f5 2019.1.00260.S PM2_8153_12702 0 0 0 0
587731511542022280 0.042889 10.4903 3.46663 41.64309665 -0.84352942 2.449759976812857 23.389930448114622 0.695991541377657 2018 uid://A001/X133d/Xf51 2018.1.00558.S 8077-9101 1 0 0 0
